City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Anajatuba,BR,75.76,few clouds,-3.26,-44.62,Pousada Por do Sol
375,Cam Ranh,VN,76.96,few clouds,11.92,109.16,OYO 598 Peony Hotel
376,Vila Franca Do Campo,PT,77.2,scattered clouds,37.72,-25.43,Pestana Bahia Praia
378,Biak,ID,76.1,overcast clouds,-0.91,122.88,Penginapan Kim
380,Kunnamkulam,IN,76.37,overcast clouds,10.65,76.08,OYO 881 Fort Gate
381,Pag,HR,81.18,broken clouds,44.45,15.06,Hotel Meridijan
382,Lompoc,US,87.01,clear sky,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
384,Ouallam,NE,86.16,scattered clouds,14.32,2.09,
385,Kidal,ML,97.14,broken clouds,18.44,1.41,
387,Sakakah,SA,88.52,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
388,Bengkulu,ID,75.34,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
392,Kimbe,PG,83.23,broken clouds,-5.55,150.14,Kimbe Bay Hotel
397,Suntar,RU,78.22,clear sky,62.14,117.63,Гостевая квартира
399,Sultanpur,IN,85.96,overcast clouds,26.27,82.07,OYO 49568 Vrindavan Guest House
400,Kirkuk,IQ,88.2,clear sky,35.47,44.39,فندق التأميم السياحي
401,Pemangkat,ID,77.0,overcast clouds,1.17,108.97,Ramah Kost KITA
404,Candido Mendes,BR,75.69,overcast clouds,-1.45,-45.72,Quebrada Do Mlk PJL
409,Gwadar,PK,81.86,broken clouds,25.12,62.33,Sadaf Resort
412,Acapulco,MX,87.62,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
416,Cairo,EG,83.16,clear sky,30.06,31.25,Grand Hotel
418,Kailua,US,82.38,light rain,21.4,-157.74,Sheffield House Bed & Breakfast
419,Isangel,VU,75.58,overcast clouds,-19.55,169.27,Tanna Lodge
422,North Platte,US,85.12,broken clouds,41.12,-100.77,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
